X,Y,Z
0.359881,0.005358,0.656970
0.359955,0.005211,0.656876
0.360027,0.005060,0.656779
0.360098,0.004904,0.656681
0.360169,0.004744,0.656580
0.360237,0.004579,0.656477
0.360305,0.004411,0.656372
0.360371,0.004238,0.656265
0.360436,0.004062,0.656156
0.360499,0.003882,0.656045
0.360560,0.003698,0.655932
0.360620,0.003511,0.655817
0.360678,0.003321,0.655701
0.360735,0.003129,0.655583
0.360789,0.002933,0.655463
0.360842,0.002735,0.655341
0.360893,0.002534,0.655218
0.360942,0.002331,0.655094
0.360989,0.002125,0.654968
0.361034,0.001918,0.654841
0.361077,0.001709,0.654712
0.361118,0.001498,0.654583
0.361157,0.001286,0.654451
0.361193,0.001072,0.654319
0.361228,0.000858,0.654186
0.361261,0.000642,0.654052
0.361291,0.000426,0.653917
0.361319,0.000208,0.653781
0.361346,-0.000009,0.653644
0.361370,-0.000228,0.653506
0.361391,-0.000446,0.653368
0.361411,-0.000664,0.653228
0.361428,-0.000883,0.653089
0.361443,-0.001101,0.652948
0.361456,-0.001318,0.652808
0.361466,-0.001535,0.652666
0.361475,-0.001752,0.652525
0.361481,-0.001968,0.652383
0.361485,-0.002182,0.652241
0.361486,-0.002396,0.652099
0.361486,-0.002608,0.651956
0.361483,-0.002819,0.651814
0.361478,-0.003029,0.651671
0.361471,-0.003237,0.651528
0.361461,-0.003443,0.651386
0.361449,-0.003647,0.651244
0.361436,-0.003850,0.651102
0.361419,-0.004050,0.650960
0.361401,-0.004248,0.650818
0.361381,-0.004444,0.650677
0.361358,-0.004638,0.650537
0.361334,-0.004829,0.650396
0.361307,-0.005017,0.650257
0.361279,-0.005203,0.650118
0.361248,-0.005386,0.649980
0.361215,-0.005566,0.649842
0.361180,-0.005743,0.649705
0.361143,-0.005917,0.649570
0.361105,-0.006088,0.649435
0.361064,-0.006256,0.649300
0.361022,-0.006420,0.649167
0.360977,-0.006582,0.649035
0.360931,-0.006740,0.648905
0.360883,-0.006894,0.648775
0.360833,-0.007045,0.648646
0.360782,-0.007193,0.648519
0.360729,-0.007337,0.648393
0.360674,-0.007478,0.648269
0.360617,-0.007615,0.648146
0.360559,-0.007748,0.648024
0.360499,-0.007877,0.647904
0.360438,-0.008003,0.647785
0.360375,-0.008125,0.647668
0.360311,-0.008244,0.647553
0.360245,-0.008358,0.647440
0.360178,-0.008469,0.647328
0.360110,-0.008576,0.647218
0.360040,-0.008680,0.647109
0.359969,-0.008779,0.647003
0.359897,-0.008875,0.646899
0.359823,-0.008967,0.646796
0.359748,-0.009055,0.646695
0.359673,-0.009140,0.646597
0.359596,-0.009220,0.646500
0.359517,-0.009298,0.646406
0.359438,-0.009371,0.646314
0.359358,-0.009441,0.646224
0.359277,-0.009507,0.646136
0.359195,-0.009569,0.646050
0.359112,-0.009628,0.645966
0.359028,-0.009684,0.645885
0.358943,-0.009736,0.645806
0.358857,-0.009785,0.645729
0.358771,-0.009830,0.645654
0.358684,-0.009872,0.645582
0.358596,-0.009910,0.645512
0.358507,-0.009946,0.645445
0.358418,-0.009978,0.645380
0.358328,-0.010007,0.645317
0.358237,-0.010033,0.645257
0.358146,-0.010056,0.645199
0.358054,-0.010076,0.645143
0.357961,-0.010094,0.645090
0.357869,-0.010108,0.645039
0.357775,-0.010120,0.644991
0.357681,-0.010129,0.644946
0.357587,-0.010136,0.644902
0.357492,-0.010140,0.644862
0.357396,-0.010141,0.644823
0.357301,-0.010140,0.644787
0.357205,-0.010137,0.644754
0.357108,-0.010132,0.644723
0.357011,-0.010125,0.644694
0.356914,-0.010115,0.644668
0.356817,-0.010104,0.644645
0.356719,-0.010091,0.644624
0.356621,-0.010075,0.644605
0.356522,-0.010059,0.644588
0.356424,-0.010040,0.644575
0.356325,-0.010020,0.644563
0.356226,-0.009998,0.644554
0.356127,-0.009975,0.644547
0.356027,-0.009951,0.644543
0.355927,-0.009925,0.644541
0.355827,-0.009899,0.644541
0.355727,-0.009871,0.644544
0.355627,-0.009842,0.644549
0.355527,-0.009812,0.644556
0.355426,-0.009781,0.644565
0.355326,-0.009750,0.644577
0.355225,-0.009718,0.644591
0.355124,-0.009685,0.644607
0.355023,-0.009652,0.644626
0.354922,-0.009618,0.644646
0.354821,-0.009584,0.644669
0.354720,-0.009550,0.644694
0.354618,-0.009516,0.644721
0.354517,-0.009481,0.644750
0.354416,-0.009446,0.644781
0.354314,-0.009411,0.644814
0.354213,-0.009376,0.644849
0.354111,-0.009342,0.644886
0.354010,-0.009307,0.644925
0.353908,-0.009273,0.644966
0.353806,-0.009239,0.645009
0.353705,-0.009206,0.645054
0.353603,-0.009173,0.645100
0.353502,-0.009140,0.645148
0.353400,-0.009109,0.645198
0.353298,-0.009077,0.645250
0.353197,-0.009047,0.645304
0.353095,-0.009017,0.645359
0.352993,-0.008988,0.645416
0.352892,-0.008960,0.645474
0.352790,-0.008933,0.645534
0.352689,-0.008906,0.645595
0.352587,-0.008881,0.645658
0.352486,-0.008857,0.645723
0.352385,-0.008834,0.645789
0.352283,-0.008812,0.645856
0.352182,-0.008791,0.645925
0.352081,-0.008771,0.645995
0.351980,-0.008753,0.646066
0.351878,-0.008736,0.646138
0.351777,-0.008720,0.646212
0.351676,-0.008706,0.646287
0.351576,-0.008693,0.646363
0.351475,-0.008681,0.646440
0.351374,-0.008671,0.646518
0.351273,-0.008662,0.646598
0.351173,-0.008655,0.646678
0.351072,-0.008650,0.646759
0.350972,-0.008646,0.646841
0.350872,-0.008643,0.646924
0.350771,-0.008642,0.647007
