X,Y,Z
0.384177,0.121027,0.691752
0.384437,0.121742,0.691566
0.384716,0.122401,0.691376
0.385019,0.122997,0.691184
0.385351,0.123525,0.690989
0.385716,0.123984,0.690794
0.386116,0.124375,0.690598
0.386553,0.124699,0.690405
0.387030,0.124960,0.690217
0.387550,0.125161,0.690035
0.388113,0.125306,0.689861
0.388715,0.125400,0.689697
0.389356,0.125446,0.689541
0.390032,0.125449,0.689395
0.390741,0.125410,0.689257
0.391480,0.125334,0.689127
0.392246,0.125222,0.689005
0.393034,0.125076,0.688888
0.393844,0.124896,0.688776
0.394670,0.124682,0.688665
0.395508,0.124432,0.688554
0.396356,0.124145,0.688440
0.397208,0.123819,0.688320
0.398062,0.123452,0.688189
0.398912,0.123042,0.688046
0.399757,0.122591,0.687888
0.400592,0.122097,0.687712
0.401416,0.121562,0.687517
0.402226,0.120987,0.687301
0.403019,0.120375,0.687063
0.403794,0.119726,0.686803
0.404548,0.119044,0.686519
0.405278,0.118327,0.686210
0.405983,0.117578,0.685874
0.406667,0.116797,0.685515
0.407333,0.115988,0.685133
0.407983,0.115155,0.684731
0.408616,0.114300,0.684310
0.409232,0.113428,0.683871
0.409830,0.112541,0.683415
0.410411,0.111644,0.682943
0.410972,0.110740,0.682457
0.411512,0.109832,0.681956
0.412031,0.108926,0.681443
0.412524,0.108028,0.680919
0.412989,0.107144,0.680384
0.413422,0.106278,0.679840
0.413824,0.105434,0.679288
0.414194,0.104618,0.678730
0.414536,0.103837,0.678172
0.414854,0.103100,0.677618
0.415148,0.102412,0.677071
0.415419,0.101774,0.676533
0.415667,0.101184,0.676003
0.415892,0.100636,0.675480
0.416093,0.100129,0.674962
0.416272,0.099657,0.674450
0.416429,0.099221,0.673942
0.416565,0.098818,0.673439
0.416681,0.098448,0.672941
0.416778,0.098109,0.672448
0.416869,0.097799,0.671964
0.416967,0.097517,0.671494
0.417075,0.097263,0.671041
0.417198,0.097041,0.670608
0.417336,0.096856,0.670199
0.417487,0.096712,0.669815
0.417647,0.096615,0.669459
0.417813,0.096565,0.669130
0.417979,0.096566,0.668830
0.418142,0.096617,0.668556
0.418298,0.096719,0.668308
0.418444,0.096872,0.668085
0.418576,0.097072,0.667885
0.418692,0.097320,0.667706
0.418788,0.097612,0.667547
0.418864,0.097946,0.667405
0.418916,0.098320,0.667279
0.418943,0.098729,0.667165
0.418943,0.099173,0.667063
0.418915,0.099647,0.666968
0.418856,0.100149,0.666880
0.418765,0.100676,0.666796
0.418641,0.101227,0.666714
0.418481,0.101799,0.666631
0.418283,0.102390,0.666546
0.418048,0.102997,0.666457
